HH_Id,SocialNetwork_Intro,Num_YrsIn_Kebele,Reltv_InKebele_FinanceNeed,Frnds_InKebele_FinanceNeed,Acquint_InKebele_FinanceNeed,Reltv_OutKebele_FinanceNeed,Frnds_OutKebele_FinanceNeed,Acquint_OutKebele_FinanceNeed,Reltv_Kebele_LeaderPositn,Frnds_Kebele_LeaderPositn,Acquint_Kebele_LeaderPositn,Reltv_InKebele_QltySeed,Frnds_InKebele_QltySeed,Acquint_InKebele_QltySeed,Reltv_OutKebele_QltySeed,Frnds_OutKebele_QltySeed,Acquint_OutKebele_QltySeed,Reltv_InKebele_GrainTrader,Frnds_InKebele_GrainTrader,Acquint_InKebele_GrainTrader,Reltv_OutKebele_GrainTrader,Frnds_OutKebele_GrainTrader,Acquint_OutKebele_GrainTrader,Reltv_InKebele_InfoAccess,Frnds_InKebele_InfoAccess,Acquint_InKebele_InfoAccess,Reltv_OutKebele_InfoAccess,Frnds_OutKebele_InfoAccess,Acquint_OutKebele_InfoAccess,Traders_Trust_Yn,Trader_Trust_Type,Trader_Trust_Type_Othr,Trader_Trust_Why,Rely_GovSupp_Yn,Rely_GovSupp_Covid,GovOfficial_Skill_Conf
1995,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,6, , ,0,0,1
1996,1,24,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,1,3,0,0,2,2,1,4,0,0,0,4,, , ,1,1,4
1997,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,4
1999,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
2000,1,21,3,1,0,4,2,0,3,1,0,2,0,0,3,1,0,4,1,0,6,3,1,5,2,1,6,3,1,2,3, ,Relatively they're are loyal,1,1,5
2020,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,1
2021,1,34,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,4,, , ,0,0,4
2023,1,38,4,1,0,3,1,0,4,1,0,3,1,0,3,1,0,5,2,0,3,1,0,6,3,1,8,4,1,2,3, ,Relatively they're loyal,1,1,3
2025,1,7,3,1,0,3,1,0,4,1,0,5,2,0,2,0,0,3,1,0,5,2,0,5,2,1,6,3,1,2,3, ,They're Loyal,1,1,3
2026,1,25,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,4,, , ,0,0,4
2027,1,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,0,6,, , ,1,1,6
2031,1,29,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,4,, , ,0,0,4
2032,1,33,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,2,3,0,0,0,4,, , ,0,0,4
2033,1,38,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
2085,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
2086,1,54,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,2,3,1,0,0,4,, , ,1,1,5
2088,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,1, ,NONE,1,1,5
2089,1,24,3,2,1,5,3,1,3,1,1,2,1,0,2,1,0,4,2,1,5,3,1,4,2,1,4,2,1,1,3, ,They're Loyal,1,1,4
2093,1,21,3,1,1,5,2,1,2,1,0,2,1,0,3,1,0,2,1,0,6,3,1,7,4,1,8,4,2,5,, , ,1,1,5
2094,1,36,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,3,2,0,0,1,6, , ,0,0,4
2095,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,6, , ,1,0,5
2096,1,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,4
2097,1,28,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,4
2098,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
2099,1,40,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
4001,1,40,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,3,4,0,1,2,0,1,6, , ,1,1,4
4002,1,40,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,2,1, ,NONE,0,0,4
4003,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6, , ,0,0,4
4004,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
4005,1,36,3,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,0,2,6, , ,1,0,5
4006,1,20,3,1,0,4,2,1,5,2,1,2,1,0,3,1,0,3,1,0,5,2,0,4,2,1,5,2,1,2,3, ,They're Loyal,1,1,6
4007,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,0,5
4008,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
4009,1,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,, , ,0,0,4
4010,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,0,0,5
4011,1,20,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
4012,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
4013,1,25,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
4014,1,20,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,2,0,0,2,2,3,2,0,0,0,5,, , ,1,1,4
4015,1,2,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,4,, , ,1,1,4
4016,1,30,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
4017,1,35,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,2,2,0,1,6, , ,1,1,2
4018,1,20,4,3,5,4,4,2,0,0,5,3,2,3,0,0,0,0,0,0,2,3,2,3,3,5,0,0,0,5,, , ,1,1,4
4019,1,35,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,2,6, , ,1,0,4
4020,1,21,4,1,1,5,2,1,6,2,0,3,1,0,3,1,0,4,1,1,6,3,1,7,4,1,9,4,2,2,3, ,They're Relatively Loyal,1,1,5
4021,1,38,4,3,2,5,2,0,0,0,3,3,2,4,2,2,2,0,0,0,0,0,4,4,2,4,0,0,0,4,, , ,1,1,4
4022,1,45,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
4023,1,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6, , ,0,0,4
4024,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6, , ,0,0,4
4025,1,35,2,2,1,4,1,0,0,0,4,2,2,0,0,0,0,1,0,1,0,2,4,2,4,5,1,0,0,4,, , ,1,1,4
4026,1,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,3,1,0,0,4,, , ,1,1,4
4027,1,24,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,6, , ,1,0,5
4028,1,35,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,5
4029,1,39,2,2,1,3,1,1,0,2,4,3,3,4,0,0,0,0,0,1,2,1,4,4,3,6,3,2,2,4,, , ,1,1,4
4030,1,34,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
4031,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,2,0,1,6, , ,0,0,1
4032,1,4,3,3,2,2,1,2,0,1,3,1,1,2,0,0,0,0,0,0,0,0,3,2,3,4,0,0,0,4,, , ,1,1,4
4033,1,14,3,3,2,2,0,0,0,4,5,4,3,2,2,0,0,0,3,4,0,0,2,0,3,4,0,0,0,5,, , ,1,1,5
4034,1,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,6, , ,1,1,1
4035,1,38,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
4036,1,31,3,1,0,4,1,1,3,2,1,2,1,0,2,0,0,3,0,0,4,1,1,5,2,1,5,2,1,2,3, ,They're Relatively Loyal,1,1,5
4037,1,38,4,3,3,7,3,5,1,4,5,4,3,3,0,0,0,0,0,0,0,2,4,3,3,2,2,3,3,4,, , ,1,1,5
4038,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,6, , ,0,0,1
4039,1,19,3,1,1,5,2,1,4,2,1,5,2,1,4,1,1,2,1,1,3,1,0,5,2,1,4,1,0,2,3, ,Relatively Loyal,1,1,5
4040,1,28,2,2,0,3,3,0,2,1,0,2,2,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,2,6, , ,0,0,5
4041,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,1,5
4042,1,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
4043,1,40,2,4,0,3,2,0,0,0,3,1,4,1,3,2,0,0,0,0,0,0,2,3,4,4,0,2,0,4,, , ,1,1,4
4044,1,5,3,1,6,3,2,2,3,2,1,2,1,1,3,2,1,4,2,1,5,3,1,4,2,1,6,2,1,2,3, ,Relatively They're Loyal,1,1,3
4045,1,29,4,1,1,5,3,2,6,2,1,5,3,1,4,2,2,3,1,1,4,2,1,6,3,1,7,4,2,2,3, ,They're Relatively Loyal,1,1,5
4046,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,6, , ,1,1,5
4047,1,48,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,0,0,0,1,6, , ,1,0,4
4048,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
98,1,26,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,, , ,0,0,5
99,1,50,6,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,5,, , ,0,0,1
100,1,40,6,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,, , ,1,0,5
101,1,40,9,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,6, , ,0,0,1
102,1,35,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,0,1,1,1,0,0,0,0,5,, , ,1,0,5
103,1,32,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,15,0,2,0,0,0,1,6, , ,0,0,1
260,1,43,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,6, , ,0,0,5
261,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6, , ,1,1,2
262,1,68,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,, , ,0,0,2
263,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3,3, ,SINCE AROUND ME AND KNOW WELL,0,0,5
264,1,35,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,6, , ,1,1,5
266,1,17,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,0,2
267,1,45,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,0,0,4
269,1,34,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6, , ,1,1,4
270,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,4
271,1,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,5
272,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,6, , ,1,0,3
273,1,55,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,0,5
275,1,34,2,2,1,3,2,1,2,2,3,0,0,1,3,2,2,2,0,2,2,1,2,3,2,5,3,2,1,1,6, , ,0,0,5
276,1,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
277,1,45,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6, , ,1,0,5
278,1,45,8,2,2,4,0,0,0,0,0,5,2,2,2,0,0,0,0,0,0,0,0,5,2,2,0,0,0,1,6, , ,1,1,5
279,1,42,5,0,0,5,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,6, , ,1,1,4
280,1,60,12,4,10,10,0,4,0,0,0,4,2,2,2,0,0,0,0,0,0,0,6,4,3,2,2,0,0,1,6, , ,1,0,6
281,1,56,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,, , ,1,0,5
282,1,76,16,5,10,10,0,4,0,0,0,4,2,2,2,0,0,0,0,0,0,0,6,4,2,2,2,0,0,1,6, , ,1,0,6
283,1,52,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,, , ,1,0,4
285,1,40,6,0,0,5,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,6, , ,1,1,5
286,1,47,10,4,8,6,0,4,0,0,0,4,2,2,4,0,0,0,0,0,0,0,6,5,3,2,2,0,0,1,6, , ,1,0,6
287,1,42,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,6, , ,1,1,5
289,1,39,4,2,2,5,0,0,1,0,0,4,2,2,5,0,0,0,0,0,0,0,0,4,2,2,5,0,0,1,6, , ,1,1,5
290,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,1,3
292,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
293,1,48,5,5,2,5,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,6, , ,1,1,5
295,1,35,0,0,0,2,0,0,0,2,0,1,0,2,0,0,0,0,2,0,2,4,0,8,0,8,0,0,2,2,6, , ,0,0,2
296,1,32,8,4,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,2,3,2,1,0,0,0,4,, , ,1,0,2
297,1,38,4,4,3,10,0,2,0,0,0,2,2,1,2,0,0,0,0,0,0,0,4,4,4,2,2,0,0,4,, , ,1,0,5
299,1,12,2,3,2,3,1,1,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,6, , ,1,0,5
301,1,38,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,6, , ,1,1,5
302,1,30,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,5,, , ,1,1,2
303,1,32,8,4,4,10,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,4,4,2,2,2,0,0,4,, , ,1,0,6
304,1,37,5,3,4,2,5,2,3,2,3,1,2,2,3,1,4,2,3,2,4,2,2,1,3,2,3,1,3,3,6, , ,1,0,5
305,1,43,3,2,3,2,2,2,1,1,0,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6, , ,1,0,5
307,1,19,4,3,4,10,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,2,4,2,2,4,0,0,1,6, , ,1,0,6
308,1,55,1,1,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,2,6, , ,0,0,2
309,1,15,4,4,2,10,0,2,0,0,0,3,2,1,4,0,0,0,0,0,0,0,4,4,2,2,4,0,0,1,6, , ,1,0,6
310,1,40,0,0,0,0,2,1,1,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,1,0,1,0,2,2,6, , ,0,0,2
311,1,37,2,5,2,3,1,2,2,3,2,3,2,3,2,2,1,2,3,2,2,2,3,3,2,1,2,3,3,1,6, , ,1,0,5
490,1,48,8,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,, , ,0,0,5
491,1,51,9,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,, , ,1,1,5
492,1,43,5,0,0,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,, , ,1,1,6
493,1,45,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,, , ,0,0,5
494,1,43,3,0,0,4,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,, , ,1,1,6
518,1,30,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,5,, , ,0,0,5
520,1,34,8,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,, , ,0,0,1
521,1,34,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,, , ,0,0,5
522,1,20,8,2,1,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,, , ,0,0,5
523,1,42,0,3,5,1,0,0,0,0,0,2,4,12,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,0,5
577,1,38,5,0,0,8,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6, , ,1,1,5
580,1,29,5,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
581,1,45,8,2,2,4,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
583,1,47,5,2,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
584,1,34,5,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6, , ,1,1,4
585,1,40,5,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
586,1,38,4,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
587,1,35,8,2,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6, , ,1,1,5
588,1,45,8,5,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,6, , ,1,1,5
589,1,46,12,2,0,10,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,6, , ,1,1,4
590,1,52,8,4,2,4,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6, , ,1,1,5
591,1,51,5,2,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6, , ,1,1,5
718,1,50,1,2,0,1,2,1,0,1,1,2,1,1,2,1,2,1,1,1,2,1,1,0,0,1,0,0,1,5,, , ,1,0,5
719,1,43,2,1,2,1,1,0,1,1,0,0,1,1,2,1,1,2,1,1,2,1,12,2,1,1,1,1,1,5,, , ,1,0,5
720,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,4
721,1,62,5,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6, , ,1,1,5
722,1,48,3,2,3,4,2,0,0,2,0,2,0,0,0,0,0,2,3,1,2,3,0,0,2,3,2,1,0,1,6, , ,0,0,2
723,1,43,2,3,2,1,2,0,0,2,0,0,0,2,3,2,2,0,0,2,3,1,2,0,2,1,2,2,1,1,6, , ,0,0,1
724,1,35,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,6, , ,1,0,5
725,1,35,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
726,1,65,3,2,2,3,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,3,2,0,3,2,0,3,0,5,, , ,1,1,5
727,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,1
728,1,55,5,3,2,2,0,0,0,2,0,0,3,0,0,2,2,0,0,0,0,2,0,8,2,3,0,0,0,5,, , ,0,1,5
729,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6, , ,1,1,5
801,1,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6, , ,1,0,5
802,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,2
803,1,58,2,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
805,1,25,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,1,0,4
806,1,45,4,1,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
807,1,25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,0,4
808,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
809,1,40,2,2,0,2,2,0,0,0,0,8,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
810,1,41,2,2,2,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
812,1,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,6, , ,1,0,4
813,1,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
814,1,25,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,, , ,1,0,5
816,1,50,2,2,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,5,3,5,3,3,0,5,, , ,1,0,5
1158,1,15,2,2,0,3,4,0,0,0,1,3,3,2,2,3,0,0,0,0,3,0,0,3,2,2,0,2,1,5,, , ,1,0,5
1159,1,35,2,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,2,6, , ,1,0,2
1163,1,45,2,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,, , ,1,1,4
1164,1,32,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1165,1,46,8,4,1,7,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
1166,1,40,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,, , ,1,0,5
1167,1,20,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,0,0,4
1168,1,35,1,1,2,1,0,0,1,0,1,1,1,1,2,2,1,1,1,0,2,1,1,1,1,1,0,0,0,5,, , ,1,0,5
1169,1,35,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,0,2
1170,1,40,2,4,0,5,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6, , ,1,1,4
1171,1,48,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,6, , ,1,0,4
1174,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,6, , ,1,1,4
1253,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,3,0,2,0,0,0,5,, , ,0,0,4
