HH_Id,Food_Insec_Intro_M,HH_Own_Wheat_Supp_M,HH_Own_Wheat_Supp_M,NoFood_Yn_M,NoFood_Period_M,NoFood_CovidEff_M,NoHealthy_Food_Yn_M,NoHealthy_Food_Period_M,NoHealthy_Food_CovidEff_M,FewFood_Yn_M,FewFood_Period_M,FewFood_CovidEff_M,SkipMeal_Yn_M,SkipMeal_Period_M,SkipMeal_CovidEff_M,AteLess_Yn_M,AteLess_Period_M,AteLess_CovidEff_M,RanOutFood_Yn_M,RanOutFood_Period_M,RanOutFood_CovidEff_M,HungryNoEat_Yn_M,HungryNoEat_Period_M,HungryNoEat_CovidEff_M,NoEat_WholeDay_Yn_M,NoEat_WholeDay_Period_M
803,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
805,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
806,1,2,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
807,1,2,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
808,,,,,,,,,,,,,,,,,,,,,,,,,,
809,1,2,1,2,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,
810,1,2,1,2,0,1,2,0,1,2,0,1,1,0,0,,,0,,,0,,,0,,
812,1,3,1,2,0,0,,,1,3,0,0,,,0,,,0,,,0,,,0,,
813,1,2,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
814,1,3,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
816,1,4,1,1,98,1,2,98,0,,,0,,,1,2,98,0,,,0,,,0,,
1158,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1164,1,3,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1165,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1166,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1167,1,3,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1168,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1169,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1170,1,3,1,1,0,1,1,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1171,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1174,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1253,1,4,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1254,1,3,1,2,1,1,2,1,1,2,0,0,,,0,,,0,,,0,,,0,,
1255,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1257,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1259,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1261,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,1,1,1,1,1,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1263,1,3,1,2,1,1,2,1,1,1,1,0,,,0,,,0,,,0,,,0,,
1264,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,1,2,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1266,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1267,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1268,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1269,1,2,1,2,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1336,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1337,1,2,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1339,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1340,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1341,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1416,1,2,1,2,0,0,,,1,3,0,0,,,0,,,0,,,0,,,0,,
1418,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,1,2,1,2,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1421,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,1,4,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1425,1,2,1,2,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1430,1,2,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1431,1,3,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1433,1,3,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1453,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1454,1,4,1,1,0,0,,,1,2,0,1,1,0,0,,,0,,,0,,,0,,
1455,1,2,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1456,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1458,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1459,1,4,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1460,1,2,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1461,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1462,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1464,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1466,1,2,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1512,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,1,3,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1515,1,4,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1516,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1517,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1518,1,3,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1521,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1522,1,3,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1525,1,3,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1526,1,2,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1527,1,1,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1528,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1529,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1530,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1531,1,4,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1533,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1534,1,1,1,1,0,1,1,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1535,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1536,1,4,1,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,
1539,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1540,1,4,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,
1542,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1543,1,4,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,
1545,1,4,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,0,,
1546,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1548,1,4,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,
1549,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,
1551,1,4,1,1,1,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,
1552,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,
1553,1,4,1,1,1,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1554,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1556,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,1,4,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1581,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1582,1,4,1,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1583,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1585,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1586,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1587,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1589,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1590,1,4,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1591,1,4,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1593,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1611,1,4,1,1,0,1,1,0,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1612,1,2,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1614,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1615,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1616,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1620,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1622,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1623,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1624,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1626,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,1,2,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1628,1,1,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
1629,1,2,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1630,1,1,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
1631,1,2,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1632,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1633,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1634,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1636,1,2,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
1638,1,1,1,2,0,1,2,0,1,2,0,0,,,1,1,0,0,,,0,,,0,,
1639,1,1,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
1640,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1641,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1642,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1643,1,4,1,1,0,1,2,0,1,1,0,0,,,1,2,0,1,2,0,0,,,0,,
1644,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1645,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1647,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1651,1,4,1,1,0,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,
1652,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1675,1,1,1,2,0,1,2,0,1,2,0,0,,,1,1,0,0,,,0,,,0,,
1676,1,2,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1681,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1683,1,3,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1688,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1689,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1690,1,4,1,1,0,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1692,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1693,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1709,1,4,1,1,0,0,,,0,,,0,,,0,,,1,1,0,0,,,0,,
1710,1,4,1,2,0,1,2,0,0,,,0,,,1,1,0,1,2,0,0,,,0,,
1711,1,4,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1712,1,5,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,
1713,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1,4,1,2,0,1,1,0,0,,,0,,,0,,,1,1,0,0,,,0,,
1715,1,4,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1716,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1719,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1721,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1722,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1723,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1724,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1725,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
1726,1,4,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
1802,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1803,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1806,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,0,,
1808,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,1,3,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,0,,,0,,
1810,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1811,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
1812,1,3,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1813,1,4,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1814,1,3,0,,,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1815,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1816,1,4,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1819,1,2,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1820,1,3,1,1,0,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1822,1,3,1,1,0,0,,,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,
1823,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,1,4,1,1,1,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
1827,1,4,1,2,1,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
1830,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
1831,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1835,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1836,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1837,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1838,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1839,1,3,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
1840,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1841,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1842,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1847,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1849,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
1852,1,4,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
1855,1,3,1,1,0,1,1,0,1,3,0,0,,,0,,,0,,,0,,,0,,
1857,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
1858,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
1859,1,3,1,1,0,1,1,0,1,3,0,0,,,0,,,0,,,0,,,0,,
3001,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3002,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3003,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,1,3,1,1,0,1,1,0,1,3,0,0,,,0,,,0,,,0,,,0,,
3005,1,2,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
3006,1,2,1,2,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
3007,1,3,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
3008,1,3,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,
3009,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
3010,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
3011,1,4,1,1,0,1,1,0,1,1,0,0,,,1,1,98,1,1,98,0,,,0,,
3012,1,1,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
3013,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3014,1,1,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
3015,1,2,1,2,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
3016,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
3017,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3018,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3019,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
3020,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
3021,1,3,1,1,0,0,,,1,2,0,0,,,1,1,0,0,,,0,,,0,,
3022,1,4,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,0,,,0,,,0,,
3023,1,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
3024,1,3,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,1,1,98,0,,
3025,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3026,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3030,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3031,1,4,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,,0,,
3032,1,4,1,1,0,0,,,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,
3033,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3034,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3035,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3036,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3037,1,2,1,1,0,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,
3038,1,1,1,2,1,0,,,1,2,1,0,,,0,,,0,,,0,,,0,,
3039,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3041,1,2,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
3042,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
3043,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
32,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
33,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
34,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
35,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
36,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
37,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
38,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
39,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
40,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
41,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
44,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
46,1,4,1,1,0,0,,,1,1,0,0,,,1,1,0,0,,,0,,,0,,
47,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,,,0,,,0,,,0,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,,,1,1,0,1,1,1,1,1,1
68,1,3,1,1,0,1,1,0,1,1,0,1,1,0,0,,,1,1,0,0,,,1,1,0
69,1,2,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,,0,,
70,1,3,0,,,1,3,0,1,3,0,0,,,0,,,0,,,0,,,0,,
75,1,3,0,,,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
76,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
77,1,1,1,3,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,1,0,0,,
78,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
79,1,2,1,2,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
80,1,3,1,2,1,1,2,1,1,2,1,0,,,0,,,0,,,0,,,0,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
84,1,2,1,2,0,1,3,0,1,2,0,0,,,0,,,0,,,0,,,0,,
85,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
86,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,,,0,,,0,,,0,,
87,1,1,1,1,0,1,1,0,98,,,0,,,0,,,1,1,0,1,1,0,1,1,0
88,1,4,98,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
90,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
95,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
97,1,4,98,,,98,,,98,,,98,,,98,,,98,,,98,,,98,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,3,1,1,99,99,,,99,,,0,,,0,,,0,,,0,,,0,,
106,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
107,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,,
108,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
109,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
110,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
111,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
112,1,1,1,1,0,1,1,0,1,2,0,1,2,1,1,2,0,0,,,0,,,0,,
113,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
127,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
128,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
130,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
131,1,4,1,1,0,0,,,1,1,0,0,,,1,1,0,1,1,0,0,,,0,,
132,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
135,1,3,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
136,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
137,1,5,98,,,98,,,0,,,0,,,0,,,0,,,0,,,0,,
138,1,1,1,2,0,1,1,0,1,1,0,0,,,0,,,0,,,1,1,0,1,1,0
139,1,2,1,3,0,1,2,0,1,2,0,1,2,0,1,2,0,1,1,0,1,1,0,0,,
140,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
141,1,1,1,2,0,1,2,0,1,2,0,1,2,0,0,,,0,,,0,,,0,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
211,1,3,1,1,0,99,,,99,,,0,,,0,,,0,,,0,,,99,,
212,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
215,1,4,1,1,1,0,,,1,1,0,0,,,1,1,0,1,1,0,1,1,0,0,,
216,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
217,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
218,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
220,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
222,1,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
223,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
228,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
421,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
422,1,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,1,0
423,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
424,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
425,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
426,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
